model,store_id,item_id,validation_actual_units,validation_forecast_units,mae,rmse,bias,wape_percent,training_days,total_training_demand,mean_daily_demand,demand_standard_deviation,zero_sales_days,zero_sales_percentage,coefficient_of_variation,demand_pattern
last_value_naive,WI_1,FOODS_3_026,33.0,28.0,0.75,1.0177,-0.1786,63.6364,1913,1765,0.9226,1.2792,1047,54.7308,1.3864,intermittent
last_value_naive,WI_1,FOODS_3_027,23.0,28.0,0.75,1.0177,0.1786,91.3043,1913,982,0.5133,1.0848,1402,73.288,2.1132,intermittent
last_value_naive,WI_1,FOODS_3_028,15.0,112.0,3.4643,3.5305,3.4643,646.6667,1913,793,0.4145,0.824,1409,73.6539,1.9878,intermittent
last_value_naive,WI_1,FOODS_3_029,58.0,168.0,3.9286,4.2762,3.9286,189.6552,1913,2453,1.2823,1.8435,975,50.9671,1.4376,intermittent
last_value_naive,WI_1,FOODS_3_030,185.0,224.0,3.75,4.2552,1.3929,56.7568,1913,7958,4.16,4.6851,517,27.0256,1.1262,mixed
last_value_naive,WI_1,FOODS_3_031,39.0,0.0,1.3929,2.0788,-1.3929,100.0,1913,1126,0.5886,1.0788,1304,68.1652,1.8328,intermittent
last_value_naive,WI_1,FOODS_3_032,31.0,0.0,1.1071,1.5236,-1.1071,100.0,1913,2047,1.07,1.7615,1053,55.0444,1.6462,intermittent
last_value_naive,WI_1,FOODS_3_033,21.0,28.0,0.9643,1.4516,0.25,128.5714,1913,319,0.1668,0.5154,1677,87.6634,3.0905,highly_intermittent
last_value_naive,WI_1,FOODS_3_034,20.0,0.0,0.7143,1.1339,-0.7143,100.0,1913,1106,0.5781,1.0188,1303,68.1129,1.7622,intermittent
last_value_naive,WI_1,FOODS_3_035,22.0,28.0,0.6429,0.8864,0.2143,81.8182,1913,1730,0.9043,1.4575,1138,59.4877,1.6116,intermittent
last_value_naive,WI_1,FOODS_3_036,12.0,0.0,0.4286,0.8452,-0.4286,100.0,1913,445,0.2326,0.6369,1618,84.5792,2.7378,highly_intermittent
last_value_naive,WI_1,FOODS_3_037,67.0,0.0,2.3929,2.9459,-2.3929,100.0,1913,3602,1.8829,2.3788,868,45.3738,1.2634,mixed
last_value_naive,WI_1,FOODS_3_038,21.0,56.0,1.5357,1.7008,1.25,204.7619,1913,544,0.2844,0.7638,1608,84.0565,2.6858,highly_intermittent
last_value_naive,WI_1,FOODS_3_039,202.0,308.0,5.1429,5.6758,3.7857,71.2871,1913,5350,2.7967,3.9665,1038,54.2603,1.4183,intermittent
last_value_naive,WI_1,FOODS_3_040,48.0,0.0,1.7143,2.3146,-1.7143,100.0,1913,1201,0.6278,1.0719,1248,65.2378,1.7074,intermittent
last_value_naive,WI_1,FOODS_3_041,56.0,112.0,2.0714,2.464,2.0,103.5714,1913,2826,1.4773,2.0789,913,47.7261,1.4073,mixed
last_value_naive,WI_1,FOODS_3_042,444.0,616.0,7.4286,8.8156,6.1429,46.8468,1913,25010,13.0737,5.4527,7,0.3659,0.4171,regular
last_value_naive,WI_1,FOODS_3_043,23.0,0.0,0.8214,1.3496,-0.8214,100.0,1913,1558,0.8144,1.331,1140,59.5923,1.6343,intermittent
last_value_naive,WI_1,FOODS_3_044,35.0,0.0,1.25,1.7829,-1.25,100.0,1913,1386,0.7245,1.4179,1346,70.3607,1.957,intermittent
last_value_naive,WI_1,FOODS_3_045,18.0,28.0,0.6429,0.8452,0.3571,100.0,1913,582,0.3042,0.7097,1515,79.195,2.3326,intermittent
last_value_naive,WI_1,FOODS_3_046,49.0,84.0,2.3214,2.6525,1.25,132.6531,1913,2003,1.047,1.5631,1033,53.999,1.4929,intermittent
last_value_naive,WI_1,FOODS_3_047,28.0,56.0,1.3571,1.6036,1.0,135.7143,1913,791,0.4135,1.1688,1595,83.3769,2.8267,highly_intermittent
last_value_naive,WI_1,FOODS_3_048,98.0,224.0,5.5,5.9221,4.5,157.1429,1913,2854,1.4919,2.2524,1022,53.4239,1.5098,intermittent
last_value_naive,WI_1,FOODS_3_049,7.0,28.0,0.75,0.866,0.75,300.0,1913,240,0.1255,0.3974,1714,89.5975,3.1673,highly_intermittent
last_value_naive,WI_1,FOODS_3_050,6.0,0.0,0.2143,0.4629,-0.2143,100.0,1913,460,0.2405,0.597,1579,82.5405,2.4826,highly_intermittent
weekly_seasonal_naive,CA_1,FOODS_3_001,5.0,16.0,0.4643,0.8238,0.3929,260.0,1913,866,0.4527,0.8904,1364,71.3016,1.967,intermittent
weekly_seasonal_naive,CA_1,FOODS_3_002,37.0,0.0,1.3214,2.1297,-1.3214,100.0,1913,2088,1.0915,1.9083,1222,63.8787,1.7484,intermittent
weekly_seasonal_naive,CA_1,FOODS_3_003,15.0,8.0,0.75,1.0522,-0.25,140.0,1913,355,0.1856,0.6318,1716,89.702,3.4044,highly_intermittent
weekly_seasonal_naive,CA_1,FOODS_3_004,24.0,12.0,0.9286,1.4392,-0.4286,108.3333,1913,984,0.5144,1.0736,1399,73.1312,2.0872,intermittent
